ProductDates,Length,IntangibleDryWell,IntangibleCompletion,TangibleDryWell,TangibleCompletion,TotalIntangible,TotalTangible,TotalCost
9-Oct-2012,4500.00,1248750.00,2710500.00,160150.00,454775.00,3959250.00,614925.00,4574175.00
13-Nov-2012,5000.00,4407024.00,4662200.00,1192976.00,329525.00,9069224.00,1522501.00,10591725.00
13-Nov-2012,4300.00,4478394.00,4796700.00,1121606.00,329525.00,9275094.00,1451131.00,10726225.00
13-Nov-2012,4600.00,1302500.00,2197000.00,277000.00,185200.00,3499500.00,462200.00,3961700.00
29-Nov-2012,4600.00,2730000.00,2969125.00,449000.00,1324500.00,5699125.00,1773500.00,7472625.00
11-Dec-2012,4500.00,3349000.00,2928500.00,460000.00,909000.00,6277500.00,1369000.00,7646500.00
7-Jan-2013,11500.00,1176050.00,2634050.00,157200.00,441250.00,3810100.00,598450.00,4408550.00
22-Jan-2013,9900.00,4404697.00,5064200.00,1045303.00,254300.00,9468897.00,1299603.00,10768500.00
22-Jan-2013,11900.00,1179450.00,3032450.00,157200.00,446725.00,4211900.00,603925.00,4815825.00
31-Jan-2013,10230.00,4304697.00,5339050.00,995303.00,252400.00,9643747.00,1247703.00,10891450.00
1-Apr-2013,10230.00,4304697.00,5319050.00,995303.00,252400.00,9623747.00,1247703.00,10871450.00
6-May-2013,11900.00,1169000.00,2697000.00,157200.00,446725.00,3866000.00,603925.00,4469925.00
13-May-2013,11450.00,1241100.00,2747100.00,137580.00,394467.00,3988200.00,532047.00,4520247.00
13-May-2013,11900.00,1169000.00,2697000.00,157200.00,446725.00,3866000.00,603925.00,4469925.00
30-Aug-2013,4700.00,1819000.00,2459000.00,184100.00,380600.00,4278000.00,564700.00,4842700.00
13-Sep-2013,4844.21,1819000.00,2439000.00,182300.00,379400.00,4258000.00,561700.00,4819700.00
30-Sep-2013,5200.00,1819000.00,2459000.00,184100.00,380600.00,4278000.00,564700.00,4842700.00
3-Oct-2013,5000.00,2426500.00,5403904.00,931500.00,652326.00,7830404.00,1583826.00,9414230.00
4-Oct-2013,10230.00,4083214.00,6205200.00,691786.00,206500.00,10288414.00,898286.00,11186700.00
15-Oct-2013,3944.44,1628500.00,2787000.00,294681.25,185760.00,4415500.00,480441.25,4895941.25
5-Nov-2013,4829.93,1628500.00,2787000.00,294973.00,185700.00,4415500.00,480673.00,4896173.00
19-Nov-2013,10230.00,4128804.00,4736000.00,671196.00,206500.00,8864804.00,877696.00,9742500.00
19-Nov-2013,10230.00,4128804.00,4749200.00,671196.00,206500.00,8878004.00,877696.00,9755700.00
23-Dec-2013,4829.93,1657500.00,2787000.00,294544.00,185700.00,4444500.00,480244.00,4924744.00
3-Jan-2014,10230.00,3881404.00,6309500.00,686595.00,222000.00,10190904.00,908595.00,11099499.00
6-Jan-2014,10230.00,4083214.00,6205200.00,691788.00,206500.00,10288414.00,898288.00,11186702.00
8-Jan-2014,10230.00,3703102.00,4749200.00,598898.00,206500.00,8452302.00,805398.00,9257700.00
15-Jan-2014,10230.00,4027789.00,6205200.00,672211.00,206500.00,10232989.00,878711.00,11111700.00
20-Jan-2014,3944.44,1628500.00,2787000.00,294220.00,185700.00,4415500.00,479920.00,4895420.00
21-Feb-2014,4452.00,2690000.00,3103000.00,502000.00,778000.00,5793000.00,1280000.00,7073000.00
10-Mar-2014,10230.00,4027789.00,6205200.00,672211.00,206500.00,10232989.00,878711.00,11111700.00
24-Mar-2014,4452.00,2690000.00,3103000.00,502000.00,778000.00,5793000.00,1280000.00,7073000.00
